brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 더 뉴 레이 1.0 밴 스탠다드,2021,8000000.0,84175,가솔린,자동,,99876,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2254053&gubun=K
현대,기아 셀토스 1.6 가솔린 터보 2WD 시그니처,2021,21000000.0,65777,가솔린,자동,,1591177,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255260&gubun=K
현대,기아 뉴 카니발 R 2.2 디젤 GLX 최고급형,2013,6000000.0,110621,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255946&gubun=K
현대,기아 그랜드 카니발 R 2.2 디젤 11인승 하이리무진 GLX 프리미엄,2013,6000000.0,176845,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256143&gubun=K
현대,기아 카니발 4세대 2.2 디젤 9인승 노블레스,2020,31000000.0,46391,디젤,자동,,2151202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256973&gubun=K
현대,기아 쏘렌토R 2.0 디젤 2WD  TLX 최고급형,2011,7500000.0,80000,디젤,자동,,1995184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257249&gubun=K
현대,기아 봉고3  캠핑카 -,2018,39800000.0,18168,디젤,자동,,2497133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2250635&gubun=K
현대,기아 더 뉴 레이  1.0 캠핑카,2019,16800000.0,83826,가솔린,자동,,99878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251830&gubun=K
현대,기아 봉고3  캠핑카 -,2013,29800000.0,123246,디젤,자동,,2497133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255439&gubun=K
현대,기아 그랜드 카니발 R  2.2 디젤 프레지던트,2013,17800000.0,148150,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257101&gubun=K
현대,기아 카니발 4세대 2.2 디젤 9인승 노블레스,2021,35800000.0,78233,디젤,자동,,2151202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255503&gubun=K
현대,기아 올 뉴 K7  3.3 노블레스,2019,11900000.0,167000,가솔린,자동,,3342290,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256365&gubun=K
현대,기아 더 뉴 셀토스 2.0 가솔린 2WD  트렌디,2026,0.0,30,가솔린,자동,,1999149,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256622&gubun=K
현대,기아 더 뉴 K5 3세대 2.0  프레스티지,2025,0.0,12952,가솔린,자동,,1999160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256627&gubun=K
현대,기아 K8 2.5  노블레스 라이트,2026,0.0,30,가솔린,자동,,2497198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256926&gubun=K
